Ref,Val,Package,PosX,PosY,Rot,Side
"SP0","Simulation_Port","pad_0.1mm",0.525000,2.570000,180.000000,top
"SP1","Simulation_Port","pad_0.1mm",0.525000,0.485000,0.000000,top
"SP2","Simulation_Port","pad_0.1mm",0.775000,2.570000,180.000000,top
"SP3","Simulation_Port","pad_0.1mm",0.775000,0.485000,0.000000,top
